countryname;ISO3;year;nominalGDP;realGDP;realGDPpercapita;realGDPinUSD;deflator;consumptions;realconsumptions;consumptionsinGDPpercent;investments;investmentsinGDPpercent;fixedinvestments;fixedinvestmentsinGDPpercent;exports;exportsinGDPpercent;imports;importsinGDPpercent;currentaccount;currentaccountinGDPpercent;USDexchangerate;realeffectiveexchangerate;govexpenditures;govexpendituresinGDPpercent;govrevenue;govrevenueinGDPpercent;govtaxation;govtaxationinGDPpercent;govdeficit;govdeficitinGDPpercent;govdebt;govdebtinGDPpercent;housepriceindex;conspriceindex;inflation;pop;unemployment;shortterminterestrate;longterminteresttrate;centralbankpolicyraterate;SovDebtCrisis;CurrencyCrisis;BankingCrisis
United Arab Emirates;ARE;2013;1469802,5;1403220;182401,4531;322262,9688;104,7449799;638589,625;618649,75;43,44730759;276300;21,6380024;260940,375;18,21357346;1445404,375;98,21668243;927341;63,09289551;75161,34375;5,113703728;3,672499895;95,69122314;373770;26,08905029;412072;28,76251984;314875;21,97819519;2363,890869;0,160830513;27127,92578;1,845685124;150,241806;102,663559;1,094026446;7,693030834;1,639999986;0;0;0;0;0;0
United Arab Emirates;ARE;2014;1520802;1450710;180001,3438;333169,5;104,8315659;706893,9375;680501,6875;46,48165512;328644;22,70079041;289870,3438;19,57893753;1479019;97,25257111;1010345;66,43501282;-79061,21875;-5,198653221;3,672499895;98,67919159;414611;28,00441742;518752;35,03850174;279888;18,90470886;-2687,543457;-0,176718831;237093,0313;15,59000015;174,7548065;105,0723267;2,344322205;8,059439659;2,461999893;0;0;0;0;0;0
United Arab Emirates;ARE;2015;1359836,625;1480520;174071,5781;340015,6563;91,84857941;727426,375;691879,6875;53,49365616;307904;22,32696724;307480,3125;23,37807846;1316700;96,82780457;987900;72,64842987;66595,34375;4,897304535;3,672499895;112,5037155;370399;28,16187096;381376;28,99646378;164480;12,5056076;-1336,531982;-0,098286219;245858,4531;18,07999992;157,8780975;109,348732;4,067131996;8,505236626;2,236000061;0;0;0;0;0;0
United Arab Emirates;ARE;2016;1356090,125;1315250;147200,4531;302059,8125;103,1051254;732491,6875;711580,0625;54,01496887;320766;21,63561821;320638,1875;24,45289612;1324400;97,66312408;994200;73,31370544;50104,02734;3,694741726;3,672499895;114,6924286;441835;33,69570923;382024;29,13433838;108588;8,281258583;-173,3235779;-0,012781125;261278,5625;19,26704979;156,6275024;111,1168594;1,619795442;8,935094833;1,639999986;0;0;0;0;0;0
United Arab Emirates;ARE;2017;1434173;1311250;142168,2813;301141,1875;109,3744888;773460;758529,125;53,93073273;298569;21,28146362;268737,4375;18,97680855;1403400;97,85430908;1047900;73,0664978;104350,2969;7,275990963;3,672499895;114,5730972;421559;30,39117241;401164;28,92085075;162253;11,69719791;537,2645874;0,037461631;313561,2813;21,86355972;149,7254028;113,3029175;1,967000008;9,22322464;2,461999893;0;0;0;0;0;0
United Arab Emirates;ARE;2018;1568339;1387110;148406,375;318563,1563;113,0652237;790100,875;766577,4375;50,3781929;295410;21,83062172;268629,7813;17,32441711;1469800;93,71697998;1033940;65,92579651;150333,2969;9,585510254;3,672499895;114,2789841;436654;28,1606884;477634;30,80356979;213034;13,73898792;3587,274658;0,228730828;334514;21,3291893;138,1215057;116,781662;3,059999943;9,346700668;2,236000061;0;0;0;0;0;0
United Arab Emirates;ARE;2019;1535067,25;1521070;161031,625;349328,3438;100,9202271;802527,625;818330,25;52,2796402;368609;24,06927872;281984,1563;18,40358353;1486860;96,85959625;1123800;73,20851898;107982,9219;7,03441;3,672499895;111,7911301;436711;28,23611259;476472;30,80690956;228540;14,77654743;15073,82031;0,981964827;411414,5313;26,80107498;128,6779022;114,5248871;-1,930999994;9,445784569;2,33100009;0;0;0;0;0;0
United Arab Emirates;ARE;2020;1283439,625;1521700;161865,1094;349473,0313;84,34248352;789204,625;805959,875;61,49137115;351400;23,32886314;259326,3125;19,67655754;1286393,625;100,2301559;1091570,5;85,05039215;77494,08594;6,038000107;3,672499895;105,6721039;399544;5,259171486;367865;6,365497112;151184;0,682088256;-646,9869385;-0,050410394;527311,625;41,08581543;122,1488037;112,1437836;-2,079403162;9,40103817;4,294000149;0;0;0;0;0;0
United Arab Emirates;ARE;2021;1524744,125;1516430;158371,375;348262,7188;100,5482712;845863,125;844343,5;55,47574615;299148;25,82702065;341074,1563;21,78360939;1561385;102,4030838;1276300;83,70584869;192111,8281;12,59961128;3,672499895;98,35823059;410751;26,63754845;457800;29,68871689;216800;14,05966282;1062,475708;0,069682233;547363,9375;35,89873886;133,3710938;112,3456192;0,180000007;9,575152397;3,105000019;0;0;0;0;0;0
United Arab Emirates;ARE;2022;1846283;1630309,25;161817,6719;374416,1875;113,2474136;1012003,063;965424,9375;54,81299591;371782,9063;26,50796127;423889;22,35794449;1916668;103,8122559;1571800;85,13320923;244134;13,22299957;3,672499895;102,8636627;489552,9063;3,875470877;549027,9375;3,268165588;283738,5;0,578507721;1680,084351;0,090998203;553107,25;29,95788002;143,503006;117,8285675;4,827888489;10,07497692;2,871999979;0;0;0;0;0;0
